items,scaled_items
56.82291994,[1.185569098593325]
45.11411102,[0.9105655438365646]
33.64401843,[0.6411686942346174]
16.66443555,[0.24237102982734532]
-1.39812342,[-0.1818623792830333]
-25.31183837,[-0.7435212690661529]
-45.35653469,[-1.21430892814256]
-51.51190742,[-1.3588795153960094]
-26.74400337,[-0.7771583767078596]
5.672743751,[-0.01578967107473517]
7.43668305,[0.025639784381793738]
-0.847174576,[-0.16892230214757623]
-12.02248709,[-0.4313956833313995]
-22.66261917,[-0.6812993383550433]
-18.2767432,[-0.5782887340559123]
-18.15264414,[-0.5753740325798571]
-21.91282802,[-0.6636890730424927]
-13.39260425,[-0.4635754799279296]
0.346243405,[-0.14089262044997483]
8.582901239,[0.05256088956469874]
10.08582171,[0.08785982345845508]
13.56282857,[0.16952391525009414]
19.63446485,[0.3121277933728327]
9.760206281,[0.0802121283708964]
22.3399724,[0.37567176259760793]
36.45735372,[0.7072452021662748]
48.7244446,[0.9953610661771666]
46.13805647,[0.934614842151274]
37.65073604,[0.7352740462977468]
24.97200305,[0.43748998765569924]
20.48254085,[0.3320464645457409]
8.919389855,[0.06046396204349897]
-10.84287379,[-0.40369023071407617]
-19.97688626,[-0.6182198140051645]
-20.8886586,[-0.639634514368119]
-27.56724779,[-0.7964938311917874]
-25.05962675,[-0.7375976014647039]
-21.05515961,[-0.6435451059520656]
-16.83927962,[-0.5445271792270392]
-25.28822683,[-0.7429667073274101]
-22.60468731,[-0.6799386988961093]
-20.89302061,[-0.639736964434909]
-19.70314907,[-0.61179057762139]
-25.03177244,[-0.7369433902364197]
-31.87627774,[-0.8976995611596947]
-39.36895405,[-1.0736792559322497]
-9.761891458,[-0.3783013131939111]
31.49232786,[0.5906321657517014]
54.08003635,[1.1211472822764195]
72.68240801,[1.5580592148529415]
81.16785548,[1.7573560206933565]
67.0587321,[1.4259765344866828]
54.81415302,[1.1383894027376522]
43.34631657,[0.8690455428568857]
42.87379482,[0.8579474745702025]
34.43856009,[0.6598300100349899]
29.70514897,[0.5486568844831912]
11.68586971,[0.1254399813368403]
10.27971275,[0.09241372177550827]
19.74953395,[0.3148304091349371]
31.90728494,[0.6003782187320831]
39.47328932,[0.7780801621168778]
51.06831165,[1.0504112232880438]
59.12339805,[1.2396001842667357]
58.14029054,[1.2165100423227275]
47.52015486,[0.9670760406276084]
29.68387308,[0.5481571799085765]
8.294904437,[0.045796739184441354]
-7.110576617,[-0.3160301623846318]
-8.260967428,[-0.3430492694984331]
0.832617099,[-0.12946921302193928]
